ID;NAZWA;w7;w8;z7;z8;r7;r8
1016000;Powiat tomaszowski;175;227;13;22;204;267
1017000;Powiat wieluński;35;35;3;4;32;35
1018000;Powiat wieruszowski;33;21;10;4;32;31
1019000;Powiat zduńskowolski;41;39;3;5;48;41
1020000;Powiat zgierski;163;169;15;8;189;220
1021000;Powiat brzeziński;41;45;5;3;68;58
1061000;Powiat m.Łódź;1613;1570;22;18;2009;1897
1062000;Powiat m.Piotrków Trybunalski;119;123;3;5;156;144
1063000;Powiat m.Skierniewice;44;46;2;0;47;49
1200000;MAŁOPOLSKIE;3612;3404;194;223;4310;4003
1201000;Powiat bocheński;105;110;6;5;129;139
1202000;Powiat brzeski;127;118;18;8;153;140
1203000;Powiat chrzanowski;122;94;6;6;153;111
1204000;Powiat dąbrowski;59;59;7;3;65;69
1205000;Powiat gorlicki;37;44;3;6;46;48
1206000;Powiat krakowski;234;210;15;24;293;241
1207000;Powiat limanowski;50;42;7;8;56;47
1208000;Powiat miechowski;66;78;10;12;76;109
1209000;Powiat myślenicki;233;203;16;7;294;249
1210000;Powiat nowosądecki;245;283;13;25;341;356
1211000;Powiat nowotarski;195;198;15;20;255;274
1212000;Powiat olkuski;115;89;9;8;157;124
1213000;Powiat oświęcimski;103;78;11;4;111;86
1214000;Powiat proszowicki;66;72;1;7;91;96
1215000;Powiat suski;51;40;3;9;53;42
1216000;Powiat tarnowski;99;87;10;13;112;86
1217000;Powiat tatrzański;142;115;4;6;170;147
1218000;Powiat wadowicki;105;130;9;11;129;155
1219000;Powiat wielicki;159;154;8;10;175;166
1261000;Powiat m.Kraków;1035;969;18;26;1131;1045
1262000;Powiat m.Nowy Sącz;201;186;3;3;257;222
1263000;Powiat m.Tarnów;63;45;2;2;63;51
1400000;MAZOWIECKIE;4048;4034;464;448;4754;4682
1401000;Powiat białobrzeski;31;36;1;2;47;47
1402000;Powiat ciechanowski;39;61;8;12;39;54
1403000;Powiat garwoliński;127;114;13;11;181;153
1404000;Powiat gostyniński;29;30;6;5;30;35
1405000;Powiat grodziski;66;60;6;6;70;62
1406000;Powiat grójecki;110;128;12;14;142;152
1407000;Powiat kozienicki;76;110;7;10;107;141
1408000;Powiat legionowski;45;41;8;3;55;49
1409000;Powiat lipski;40;45;11;3;39;49
1410000;Powiat łosicki;30;36;6;10;29;36
1411000;Powiat makowski;53;42;8;9;59;53
1412000;Powiat miński;124;119;21;9;154;167
1413000;Powiat mławski;43;42;13;10;49;44
1414000;Powiat nowodworski;59;57;13;13;63;66
1415000;Powiat ostrołęcki;86;71;15;14;103;78
1416000;Powiat ostrowski;58;53;11;17;63;52
1417000;Powiat otwocki;72;63;20;18;79;65
1418000;Powiat piaseczyński;86;84;15;22;87;85
1419000;Powiat płocki;116;106;15;17;160;122
1420000;Powiat płoński;54;54;12;21;60;55
1421000;Powiat pruszkowski;69;76;9;12;74;76
1422000;Powiat przasnyski;51;56;7;8;63;65
1423000;Powiat przysuski;46;41;6;4;59;42
1424000;Powiat pułtuski;49;51;10;8;61;51
1425000;Powiat radomski;217;210;28;23;270;280
1426000;Powiat siedlecki;76;76;15;8;85;117
1427000;Powiat sierpecki;78;71;7;9;99;77
1428000;Powiat sochaczewski;70;60;6;11;75;62
1429000;Powiat sokołowski;37;46;6;2;40;58
1430000;Powiat szydłowiecki;38;19;4;2;40;20
1432000;Powiat warszawski zachodni;60;62;16;7;60;69
1433000;Powiat węgrowski;41;39;5;7;41;40
1434000;Powiat wołomiński;124;99;27;18;146;109
1435000;Powiat wyszkowski;92;81;21;20;93;87
1436000;Powiat zwoleński;40;47;4;7;60;61
1437000;Powiat żuromiński;26;23;2;3;28;25
1438000;Powiat żyrardowski;65;81;6;14;89;95
1461000;Powiat m.Ostrołęka;31;24;0;2;32;23
1462000;Powiat m.Płock;105;90;3;4;124;108
1463000;Powiat m.Radom;265;266;13;9;322;322
1464000;Powiat m.Siedlce;52;62;0;1;54;77
1465000;Powiat m. st. Warszawa;1072;1102;48;43;1223;1253
1600000;OPOLSKIE;700;705;78;81;849;787
1601000;Powiat brzeski;43;40;3;2;56;48
1602000;Powiat głubczycki;25;18;6;2;24;19
1603000;Powiat kędzierzyńsko-kozielski;33;32;5;9;33;29
1604000;Powiat kluczborski;40;41;6;8;45;38
1605000;Powiat krapkowicki;36;39;7;11;39;35
1606000;Powiat namysłowski;19;20;2;3;23;21
1607000;Powiat nyski;93;94;14;13;101;107
1608000;Powiat oleski;43;58;5;10;55;64
1609000;Powiat opolski;161;119;14;7;239;148
1610000;Powiat prudnicki;30;32;6;3;25;37
1611000;Powiat strzelecki;31;45;4;3;30;58
1661000;Powiat m.Opole;146;167;6;10;179;183
1800000;PODKARPACKIE;1710;1481;124;125;2033;1775
1801000;Powiat bieszczadzki;11;14;1;1;13;15
1802000;Powiat brzozowski;11;11;3;2;8;15
1803000;Powiat dębicki;96;81;12;6;113;95
1804000;Powiat jarosławski;39;37;6;7;42;37
1805000;Powiat jasielski;60;71;2;8;67;77
1806000;Powiat kolbuszowski;25;38;5;8;30;39
1807000;Powiat krośnieński;26;30;11;7;24;34
1808000;Powiat leżajski;13;17;4;6;11;15
1809000;Powiat lubaczowski;18;15;3;3;18;20
1810000;Powiat łańcucki;43;44;7;2;46;54
1811000;Powiat mielecki;67;57;8;5;69;58
1812000;Powiat niżański;68;57;8;5;89;67
1813000;Powiat przemyski;22;19;3;7;25;74
1814000;Powiat przeworski;68;80;4;12;78;99
1815000;Powiat ropczycko-sędziszowski;64;47;3;1;82;64
1816000;Powiat rzeszowski;299;175;8;9;380;215
1817000;Powiat sanocki;38;35;3;6;41;33
1818000;Powiat stalowowolski;119;97;10;8;142;106
1819000;Powiat strzyżowski;60;79;5;7;67;105
1820000;Powiat tarnobrzeski;49;53;8;1;85;74
1821000;Powiat leski;15;13;1;0;18;13
1861000;Powiat m.Krosno;10;18;1;2;12;19
1862000;Powiat m.Przemyśl;20;16;1;0;19;16
1863000;Powiat m.Rzeszów;425;314;4;8;496;352
1864000;Powiat m.Tarnobrzeg;44;63;3;4;58;79
2000000;PODLASKIE;693;672;114;102;802;771
2001000;Powiat augustowski;29;25;5;6;33;29
2002000;Powiat białostocki;101;92;17;16;137;109
2003000;Powiat bielski;40;44;10;12;48;44
2004000;Powiat grajewski;33;30;8;6;32;32
2005000;Powiat hajnowski;15;22;1;0;14;22
2006000;Powiat kolneński;21;27;4;9;28;31
